building_name,address_base,ward,unit_count
朝日プラザ新札幌,北海道札幌市厚別区厚別中央4条6丁目1-10,厚別区,3
コーポラス桧,北海道札幌市厚別区青葉町11丁目7-17,厚別区,1
システムコート大谷地,北海道札幌市厚別区大谷地東7丁目5-5,厚別区,1
AXIS-FA手稲,北海道札幌市手稲区手稲本町1条1丁目3-41,手稲区,4
SELGRACE曙,北海道札幌市手稲区曙3条3丁目1-11,手稲区,2
グランイースト手稲,北海道札幌市手稲区曙6条3丁目4-8,手稲区,1
メゾン花,北海道札幌市手稲区前田2条11丁目9-21,手稲区,1
コーポ6.6,北海道札幌市手稲区前田6条6丁目1-13,手稲区,2
アークヒルズ33,北海道札幌市手稲区富丘3条3丁目1-27,手稲区,1
アークヒルズII,北海道札幌市手稲区富丘3条3丁目1-30,手稲区,1
CASA SOUVENIR,北海道札幌市西区宮の沢1条3丁目4-3,西区,2
ピアチューレ,北海道札幌市西区宮の沢1条3丁目9-32,西区,1
THE LODGE IN SAPPORO(札幌の山小屋),北海道札幌市西区宮の沢3条5丁目16-2,西区,1
カピテーヌ琴似,北海道札幌市西区琴似1条1丁目7-7,西区,3
琴,北海道札幌市西区琴似1条4丁目1-11,西区,6
琴似クリーンレジデンス,北海道札幌市西区琴似1条4丁目1-11,西区,29
テラスK4,北海道札幌市西区琴似1条5丁目3-24,西区,6
シティラデファンス,北海道札幌市西区琴似1条5丁目4-10,西区,4
グランドサクセス琴似V,北海道札幌市西区琴似1条6丁目2-11,西区,4
ブランシャール琴似駅前,北海道札幌市西区琴似2条5丁目2-17,西区,1
サンライズ琴似,北海道札幌市西区琴似3条4丁目1-31,西区,1
メモリアル55,北海道札幌市西区西町南18丁目5-23,西区,1
クラリス西町北,北海道札幌市西区西町北2丁目8-15,西区,1
カルムハピネス西町,北海道札幌市西区西町北5丁目2-26,西区,2
グランドサクセス発寒南,北海道札幌市西区西町北9丁目3-1,西区,2
ダイナスティパレス24軒,北海道札幌市西区二十四軒1条2丁目2-10,西区,2
ダイナスティパレス二十四軒,北海道札幌市西区二十四軒1条2丁目2-10,西区,1
ノーザンライツ札幌,北海道札幌市西区二十四軒1条2丁目3-23,西区,1
Culture24,北海道札幌市西区二十四軒4条4丁目1-33,西区,7
マロウドイン24,北海道札幌市西区二十四軒4条4丁目5-12,西区,4
マイライフ琴似,北海道札幌市西区二十四軒4条4丁目9-18,西区,4
エクセル琴似,北海道札幌市西区二十四軒4条4丁目9-26,西区,1
Meteore琴似 2-C,北海道札幌市西区二十四軒4条5丁目12-16,西区,1
テラ二十四軒,北海道札幌市西区二十四軒4条6丁目5-32,西区,3
サイレンス琴似,北海道札幌市西区八軒1条東1丁目3-1,西区,3
グランシャリオ琴似,北海道札幌市西区八軒2条東1丁目6-5,西区,1
Broaden 8 House,北海道札幌市西区八軒7条東1丁目2-35,西区,3
サイレンスウエスト,北海道札幌市西区八軒7条東5丁目4-30,西区,1
カオン発寒,北海道札幌市西区発寒10条2丁目11-3,西区,1
ウエストスクウエア,北海道札幌市西区発寒10条2丁目12-12,西区,1
フィオラノ発寒中央8,北海道札幌市西区発寒10条2丁目6-26,西区,1
Rion発寒,北海道札幌市西区発寒1条3丁目3-10,西区,1
プラウド札幌,北海道札幌市西区発寒1条4丁目3-5,西区,1
コローレ琴似,北海道札幌市西区発寒3条1丁目11-1,西区,3
ラグナベルデ宮の沢,北海道札幌市西区発寒6条9丁目3-26,西区,1
発寒9条13丁目戸建アパート,北海道札幌市西区発寒9条13丁目10-16,西区,1
ドエル大通り公園,北海道札幌市中央区大通西13丁目4番地193,中央区,1
サンコート大通,北海道札幌市中央区大通西14丁目3-44,中央区,12
プレステージ札幌,北海道札幌市中央区大通西16丁目1-18,中央区,5
大通ハイチ,北海道札幌市中央区大通西16丁目3-32,中央区,5
カンダミニアム大通,北海道札幌市中央区大通西18丁目1-12,中央区,3
プレジャー大通西18,北海道札幌市中央区大通西18丁目1-43,中央区,3
パークレジデンス,北海道札幌市中央区大通西23丁目1-22,中央区,8
WEST23BLD,北海道札幌市中央区大通西23丁目2-12,中央区,1
ジュネス大通,北海道札幌市中央区大通東5丁目4-5,中央区,3
RT2,北海道札幌市中央区大通東5丁目4-57,中央区,1
ストラダーレ,北海道札幌市中央区大通東7丁目12-22,中央区,1
ハミルトンイースト,北海道札幌市中央区大通東8丁目1番地123,中央区,22
TEN CITY,北海道札幌市中央区南10条西11丁目1-33,中央区,3
Fuente Diez,北海道札幌市中央区南10条西13丁目3-31,中央区,2
クインズフォレスト中島公園,北海道札幌市中央区南10条西6丁目4-1,中央区,1
ローディア109,北海道札幌市中央区南10条西9丁目2-34,中央区,2
GLASS山鼻EAST,北海道札幌市中央区南11条西12丁目2-12,中央区,6
MP Style 50,北海道札幌市中央区南11条西13丁目1-32,中央区,3
YI House,北海道札幌市中央区南11条西14丁目2-29,中央区,2
AJITO S11,北海道札幌市中央区南11条西14丁目2-30,中央区,1
中島公園マンション,北海道札幌市中央区南11条西1丁目2-12,中央区,4
パークアベニュー中島,北海道札幌市中央区南11条西1丁目2-15,中央区,1
エクセル中島公園,北海道札幌市中央区南11条西6丁目1-27,中央区,2
NKビル,北海道札幌市中央区南12条西14丁目1-20,中央区,4
セシリア,北海道札幌市中央区南12条西15丁目3-7,中央区,1
12条ハイツ,北海道札幌市中央区南12条西8丁目1-11,中央区,5
第37松井ビル,北海道札幌市中央区南12条西8丁目1-24,中央区,6
Amadeus中島公園,北海道札幌市中央区南12条西8丁目2-27,中央区,1
CALM・LIV,北海道札幌市中央区南12条西8丁目3-18,中央区,2
アンビエンテ131,北海道札幌市中央区南13条西1丁目1-3,中央区,1
メゾンパルク,北海道札幌市中央区南13条西6丁目2-3,中央区,4
コメンスNo.1,北海道札幌市中央区南13条西6丁目4-16,中央区,3
